TransitionComputerCode,RouteString
FOLZZ3 ALYRA,FOLZZ GOZZR ALYRA
FOLZZ3 ZFP,FOLZZ ZFP
FOLZZ3 GOZZR,FOLZZ GOZZR
FOLZZ3 PADUS,FOLZZ PADUS
FOLZZ3 SNAGY,FOLZZ GOZZR SNAGY
FOLZZ3 SUMRS,FOLZZ GOZZR SUMRS
FORPE1 ABQ,LALUZ SJN ABQ
FORPE1 MAXXO,LALUZ SJN JSSUA MAXXO
FORPE1 SJN,LALUZ SJN
FLL2 AARPS,FLL PERTS AARPS
FLL2 BEECH,FLL BEECH
FLL2 BNICE,DHP BNICE
FLL2 DORRL,DHP BOGYY DORRL
FLL2 FEALX,FLL FEALX
FLL2 ZFP,FLL FEALX ZFP
FLL2 FRSBE,DHP ALNZO FRSBE
FLL2 HROCK,FLL HROCK
FLL2 MAYNR,DHP MAYNR
FOXHL1 OTTTO,FOXHL OTTTO
FOXHL1 RAMAY,FOXHL RAMAY
FRITR3 AVRRY,DOTSS AREAE PEELR MTBAL AVRRY
FRITR3 CNERY,DOTSS WIILD BLCKD CSTWY CNERY
FRITR3 TCATE,DOTSS WIILD TCATE
FRSBE2 STYMY,FRSBE WAPOM STYMY
FRSBE2 WAPOM,FRSBE WAPOM
FSHUN3 PLUMR,FSHUN PLUMR
FTHIL3 FRA,FTHIL GRDOE FRA
FTHLS6 ABQ,FTHLS JNIPR JSSUA ABQ
FTHLS6 JNIPR,FTHLS JNIPR
FTHLS6 MAXXO,FTHLS JNIPR JSSUA MAXXO
FUNNL3 PHARA,FUNNL PHARA
FYRBD1 MOHAK,JUDTH MOHAK
FYSTA3 FTI,FYSTA MACHO FTI
FYSTA3 JLPNO,FYSTA POYOH JLPNO
GABBE3 FLASK,GABBE BUTRZ CLTCH KERRK TEEMS FLASK
GABBE3 GLANC,GABBE SCRAM DANOO WALCE GLANC
GABBE3 MAULS,GABBE BUTRZ CLTCH KERRK MAULS
